G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
21,        .,    .,0.7,   .,   .,    .,   .,0,0,18.3,80.9,   .
22,        .,0,10.4,   .,   .,    .,   .,27.6,  .,2.1,0.9,   .
23,        .,33.3,0,1.1,   .,    .,   .,   .,  .,   .,26.8,   .
24,0,9.9,0.1,27.6,20,    .,   .,   .,  .,2.5,2.3,   .
25,        .,0.1,   .,0,0,    .,   .,   .,  .,10.8,11,   .
26,        .,4.8,0.3,   .,   .,    .,   .,   .,  .,20.7,1.4,   .
27,        .,0,0.4,3.1,   .,4.7,   .,   .,  .,   .,4.8,   .
28,0,6.5,0.8,0.1,   .,    .,   .,   .,  .,   .,   .,   .
29,0,13.9,13.6,10.4,   .,    .,0.2,   .,  .,   .,   .,   .
30,0.1,,1.3,   .,12.9,    .,   .,   .,  .,   .,   .,   .
31,2.5,,0.4,,0,,   .,   .,,   .,,   .
2017,,,,,,,,,,,,
1,        .,88.2,9.5,   .,   .,    .,40.6,   .,  .,   .,   .,3.1
2,        .,55.8,7.5,   .,0,    .,   .,   .,29.6,   .,   .,0
3,9.5,34.2,   .,   .,   .,    .,   .,   .,12.8,   .,   .,   .
4,        .,24.2,   .,   .,0.5,    .,1.3,   .,0,2.5,0.5,   .
5,0.2,40.3,11.9,1.6,8.2,    .,   .,   .,0.1,   .,0.1,   .
6,0,22.7,4.4,2.3,4.3,    .,   .,   .,  .,0.1,20.2,   .
7,        .,3.3,20.2,0.5,12.5,15,   .,21.4,0.4,14.1,27.8,   .
8,        .,    .,   .,   .,0.4,3,   .,   .,23.5,   .,8.3,0.3
9,        .,    .,   .,   .,1.6,    .,0,   .,  .,   .,0.3,55.5
10,        .,    .,   .,   .,0,    .,   .,0.5,1.8,3.2,0.3,0.2
11,        .,0.2,   .,   .,3.7,    .,   .,0.4,8.7,   .,   .,32.7
12,        .,1.4,   .,1.3,0.1,    .,2.7,   .,21.1,   .,0,4.6
13,46.8,    .,   .,   .,14.4,    .,   .,0.9,19.3,   .,30.4,34
14,37.2,    .,   .,   .,   .,    .,   .,   .,0.4,   .,5.1,7.3
15,        .,    .,   .,0.2,   .,    .,   .,   .,19.7,   .,0.5,15.6
16,        .,    .,   .,16.4,   .,    .,   .,   .,30.8,   .,1,26.4
17,0,    .,   .,8.6,   .,3.2,   .,   .,34.3,   .,   .,0.2
18,0,27.6,   .,   .,   .,    .,   .,   .,4.9,   .,   .,   .
19,0,    .,   .,7.2,   .,    .,   .,   .,9.5,   .,   .,   .
20,        .,    .,   .,   .,1.7,    .,   .,18,12.8,   .,   .,   .
21,        .,    .,   .,   .,18.6,0,   .,   .,  .,   .,   .,   .
22,        .,    .,   .,   .,   .,    .,0.3,   .,  .,0.3,0,   .
23,        .,0.1,   .,   .,   .,    .,   .,   .,  .,132.9,0,   .
24,        .,0.2,   .,   .,1.5,0,0.1,   .,0,   .,0,   .
25,        .,38.6,   .,0.8,9.6,    .,11.7,   .,18.1,   .,   .,   .
26,        .,    .,   .,5.9,   .,6.4,2.5,   .,1.4,   .,30.3,   .
27,        .,    .,   .,3,   .,    .,27.7,   .,  .,   .,0,26.8
28,        .,    .,   .,41.7,   .,0,   .,   .,  .,0.8,   .,28.5
29,        .,,   .,12.3,   .,28.3,   .,6.1,  .,   .,32.1,28.4
30,        .,,   .,   .,   .,7.9,   .,   .,  .,0,47.7,   .
31,1.9,,   .,,0,,1.2,   .,,   .,,   .
